Date,Energy (kWh),Reactive energy (kVArh),Power (kW),Maximeter (kW),Reactive power (kVAr),Voltage (V),Intensity (A),Power factor (φ)
1 Aug 2019 00:00:00,1.211,0.200,5.156,5.306,-8.382,121.955,53.003,0.857
1 Aug 2019 00:15:00,1.299,0.300,5.297,6.215,-8.295,121.135,57.352,0.047
1 Aug 2019 00:30:00,1.600,0.791,7.283,8.732,-5.335,122.015,66.358,0.868
1 Aug 2019 00:45:00,1.590,0.800,6.398,6.504,-5.422,120.845,60.979,0.060
1 Aug 2019 01:00:00,1.710,0.610,9.423,14.644,-10.102,122.010,78.312,0.869
1 Aug 2019 01:15:00,3.611,0.200,14.066,14.314,-17.784,121.020,109.687,0.056
1 Aug 2019 01:30:00,3.489,0.400,14.967,16.085,-11.540,121.605,115.321,0.864
1 Aug 2019 01:45:00,3.910,2.889,15.744,16.010,3.597,120.815,116.769,0.075
1 Aug 2019 02:00:00,3.990,2.700,15.282,16.091,-2.828,121.715,111.539,0.869
1 Aug 2019 02:15:00,3.410,0.210,14.089,14.318,-18.816,120.795,114.581,0.084
1 Aug 2019 02:30:00,3.601,0.200,14.606,14.720,-18.992,121.595,113.886,0.865
1 Aug 2019 02:45:00,3.489,0.200,14.012,14.207,-18.402,120.815,112.496,0.054
1 Aug 2019 03:00:00,3.601,0.100,14.146,14.351,-16.106,0.000,113.886,0.769
1 Aug 2019 03:15:00,3.489,0.200,14.216,14.382,-19.237,120.875,118.270,0.084
1 Aug 2019 03:30:00,3.611,0.200,14.645,14.746,-19.323,121.600,118.082,0.863
1 Aug 2019 03:45:00,3.499,0.190,14.268,14.448,-18.798,121.185,115.161,0.082
1 Aug 2019 04:00:00,3.590,0.200,14.477,14.687,-18.199,121.775,111.763,0.865
1 Aug 2019 04:15:00,3.511,0.210,14.182,14.331,-18.390,120.835,113.129,0.069
1 Aug 2019 04:30:00,3.400,0.200,14.246,14.380,-17.955,121.695,111.551,0.633
1 Aug 2019 04:45:00,3.100,0.301,11.242,13.936,-13.426,121.050,94.382,0.059
1 Aug 2019 05:00:00,1.590,0.690,6.278,6.408,-5.302,121.870,59.256,0.636
1 Aug 2019 05:15:00,1.719,0.700,6.335,6.480,-5.401,121.005,59.678,0.076
1 Aug 2019 05:30:00,1.590,0.710,6.370,6.567,-4.792,121.920,57.632,0.644
1 Aug 2019 05:45:00,1.611,0.700,6.434,6.631,-5.397,121.250,61.696,0.076
1 Aug 2019 06:00:00,1.599,0.700,6.386,6.596,-6.404,121.720,65.082,0.639
1 Aug 2019 06:15:00,1.500,0.589,5.848,6.504,-6.500,121.365,58.366,0.071
1 Aug 2019 06:30:00,1.190,0.200,4.801,4.906,-8.414,122.365,53.173,0.623
1 Aug 2019 06:45:00,1.211,0.210,4.827,4.981,-9.309,121.065,54.364,0.074
1 Aug 2019 07:00:00,1.099,0.391,4.826,6.470,-8.260,122.070,56.537,0.631
1 Aug 2019 07:15:00,1.201,0.599,3.959,6.501,-0.231,121.215,28.992,0.148
1 Aug 2019 07:30:00,0.700,0.401,2.699,2.733,1.772,121.955,14.139,0.744
1 Aug 2019 07:45:00,1.399,0.300,7.514,10.443,-3.909,0.000,46.426,0.979
1 Aug 2019 08:00:00,2.601,0.100,10.953,12.182,-1.071,122.250,63.286,0.739
1 Aug 2019 08:15:00,3.000,2.299,12.218,12.347,9.163,0.000,67.432,0.975
1 Aug 2019 08:30:00,3.000,2.201,11.743,12.342,3.141,122.295,65.607,0.736
1 Aug 2019 08:45:00,2.699,0.000,10.516,10.545,-9.028,0.000,61.651,0.970
1 Aug 2019 09:00:00,2.601,0.000,10.793,10.868,-8.921,121.700,62.346,0.736
1 Aug 2019 09:15:00,2.700,0.000,10.520,10.546,-8.965,0.000,62.266,0.970
1 Aug 2019 09:30:00,2.600,0.000,10.905,11.004,-9.053,121.695,61.873,0.970
1 Aug 2019 09:45:00,2.700,0.000,10.726,10.813,-9.101,0.000,61.945,0.970
1 Aug 2019 10:00:00,2.700,0.000,11.149,11.470,-9.335,121.155,62.952,0.970
1 Aug 2019 10:15:00,2.699,0.000,10.946,10.999,-9.656,0.000,63.645,0.969
1 Aug 2019 10:30:00,2.700,0.000,11.183,11.264,-9.152,121.300,62.985,0.970
1 Aug 2019 10:45:00,2.701,0.000,10.818,11.045,-9.339,0.000,63.240,0.970
1 Aug 2019 11:00:00,2.599,0.000,11.089,11.224,-9.582,121.905,63.665,0.969
1 Aug 2019 11:15:00,2.700,0.000,10.719,10.755,-9.771,0.000,64.047,0.967
1 Aug 2019 11:30:00,1.701,0.299,5.595,10.920,-1.755,122.200,30.605,0.970
1 Aug 2019 11:45:00,0.699,0.601,2.768,2.783,2.290,0.000,15.632,0.971
1 Aug 2019 12:00:00,0.700,0.600,3.160,3.211,2.453,122.615,16.305,0.970
1 Aug 2019 12:15:00,0.701,0.600,2.828,2.951,2.365,0.000,16.319,0.971
1 Aug 2019 12:30:00,0.700,0.699,3.064,3.144,2.188,123.285,15.365,0.971
1 Aug 2019 12:45:00,0.700,0.500,2.701,2.716,1.762,0.000,14.205,0.980
1 Aug 2019 13:00:00,0.399,0.201,2.013,3.013,-0.660,124.090,10.893,0.963
1 Aug 2019 13:15:00,0.300,0.000,1.104,1.153,-1.833,0.000,9.545,0.939
